Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,Flower_Type,Flower_Type_Index,features,scaledFeatures,rawPrediction,probability,prediction
4.4,2.9,1.4,0.2,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[4.4,2.9,1.4,0.2]}","{""vectorType"":""dense"",""length"":4,""values"":[5.0010171654063305,6.968190455239197,0.7920150679648652,0.2606750763541214]}","{""vectorType"":""dense"",""length"":3,""values"":[-79.47072894873867,-33.6393926737438,113.11012162248248]}","{""vectorType"":""dense"",""length"":3,""values"":[2.3078058860519703e-84,1.851380645087324e-64,1]}",2
4.5,2.3,1.3,0.3,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[4.5,2.3,1.3,0.3]}","{""vectorType"":""dense"",""length"":4,""values"":[5.114676646438292,5.526495878293156,0.735442563110232,0.391012614531182]}","{""vectorType"":""dense"",""length"":3,""values"":[-47.04386253042741,-5.127727392070199,52.1715899224976]}","{""vectorType"":""dense"",""length"":3,""values"":[8.15223105453467e-44,1.3038351154249712e-25,1]}",2
4.9,3.1,1.5,0.1,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[4.9,3.1,1.5,0.1]}","{""vectorType"":""dense"",""length"":4,""values"":[5.56931457056614,7.448755314221212,0.8485875728194985,0.1303375381770607]}","{""vectorType"":""dense"",""length"":3,""values"":[-87.52121972004588,-38.83267163699415,126.35389135704004]}","{""vectorType"":""dense"",""length"":3,""values"":[1.303825416331986e-93,1.8213239861593713e-72,1]}",2
5,3,1.6,0.2,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5,3,1.6,0.2]}","{""vectorType"":""dense"",""length"":4,""values"":[5.6829740515981015,7.208472884730204,0.9051600776741318,0.2606750763541214]}","{""vectorType"":""dense"",""length"":3,""values"":[-76.99038590691146,-30.92206184282783,107.91244774973931]}","{""vectorType"":""dense"",""length"":3,""values"":[4.985625519420681e-81,5.069190195385229e-61,1]}",2
5,3.2,1.2,0.2,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5,3.2,1.2,0.2]}","{""vectorType"":""dense"",""length"":4,""values"":[5.6829740515981015,7.689037743712219,0.6788700582555988,0.2606750763541214]}","{""vectorType"":""dense"",""length"":3,""values"":[-93.00873357864847,-42.656330433691906,135.66506401234045]}","{""vectorType"":""dense"",""length"":3,""values"":[4.877884922615119e-100,3.597513122710428e-78,1]}",2
5,3.3,1.4,0.2,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5,3.3,1.4,0.2]}","{""vectorType"":""dense"",""length"":4,""values"":[5.6829740515981015,7.929320173203225,0.7920150679648652,0.2606750763541214]}","{""vectorType"":""dense"",""length"":3,""values"":[-94.96796188979508,-45.6119260659063,140.57988795570145]}","{""vectorType"":""dense"",""length"":3,""values"":[5.045086164717633e-103,1.373797098691763e-81,1]}",2
5,3.4,1.5,0.2,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5,3.4,1.5,0.2]}","{""vectorType"":""dense"",""length"":4,""values"":[5.6829740515981015,8.169602602694232,0.8485875728194985,0.2606750763541214]}","{""vectorType"":""dense"",""length"":3,""values"":[-98.43967658212219,-49.29540636392511,147.73508294604733]}","{""vectorType"":""dense"",""length"":3,""values"":[1.2236588429913587e-107,2.6961604018502634e-86,1]}",2
5.1,3.5,1.4,0.3,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5.1,3.5,1.4,0.3]}","{""vectorType"":""dense"",""length"":4,""values"":[5.7966335326300635,8.409885032185239,0.7920150679648652,0.391012614531182]}","{""vectorType"":""dense"",""length"":3,""values"":[-100.90221767836385,-51.66329582901406,152.56551350737794]}","{""vectorType"":""dense"",""length"":3,""values"":[8.324592923536577e-111,2.0162995794324653e-89,1]}",2
5.3,3.7,1.5,0.2,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5.3,3.7,1.5,0.2]}","{""vectorType"":""dense"",""length"":4,""values"":[6.0239524946939875,8.890449891167252,0.8485875728194985,0.2606750763541214]}","{""vectorType"":""dense"",""length"":3,""values"":[-111.17249412615797,-59.6930380238296,170.8655321499876]}","{""vectorType"":""dense"",""length"":3,""values"":[3.2541794738694936e-123,7.407731251802606e-101,1]}",2
5.4,3.4,1.5,0.4,Iris-setosa,2,"{""vectorType"":""dense"",""length"":4,""values"":[5.4,3.4,1.5,0.4]}","{""vectorType"":""dense"",""length"":4,""values"":[6.13761197572595,8.169602602694232,0.8485875728194985,0.5213501527082428]}","{""vectorType"":""dense"",""length"":3,""values"":[-88.8915267475715,-41.861710547137605,130.7532372947091]}","{""vectorType"":""dense"",""length"":3,""values"":[4.069030990143796e-96,1.0821330425483868e-75,1]}",2
